K_cap,k_low,NMI_max,NMI_min,NMI_avg,NMI_med,algo_choice
100,99,0.501781749217,0.501781749217,0.501781749217,0.501781749217,4
150,149,0.500531587424,0.500531587424,0.500531587424,0.500531587424,4
110,109,0.500167348385,0.500167348385,0.500167348385,0.500167348385,4
115,109,0.499988661933,0.499988661933,0.499988661933,0.499988661933,4
110,104,0.499725110759,0.499725110759,0.499725110759,0.499725110759,4
120,114,0.499638581295,0.499638581295,0.499638581295,0.499638581295,4
130,114,0.499549587685,0.499549587685,0.499549587685,0.499549587685,4
130,119,0.499431632214,0.499431632214,0.499431632214,0.499431632214,4
140,129,0.499387191748,0.499387191748,0.499387191748,0.499387191748,4
105,104,0.499262351827,0.499262351827,0.499262351827,0.499262351827,4
115,114,0.498805785885,0.498805785885,0.498805785885,0.498805785885,4
140,119,0.498722252986,0.498722252986,0.498722252986,0.498722252986,4
140,114,0.498362097173,0.498362097173,0.498362097173,0.498362097173,4
120,109,0.498120580258,0.498120580258,0.498120580258,0.498120580258,4
120,119,0.497631344407,0.497631344407,0.497631344407,0.497631344407,4
130,129,0.497447117056,0.497447117056,0.497447117056,0.497447117056,4
120,70,0.492393359358,0.492393359358,0.492393359358,0.492393359358,3
120,70,0.492393359358,0.492393359358,0.492393359358,0.492393359358,3
120,70,0.492393359358,0.492393359358,0.492393359358,0.492393359358,3
120,70,0.492393359358,0.492393359358,0.492393359358,0.492393359358,3
120,70,0.492393359358,0.492393359358,0.492393359358,0.492393359358,3
120,70,0.492393359358,0.492393359358,0.492393359358,0.492393359358,3
120,70,0.492393359358,0.492393359358,0.492393359358,0.492393359358,3
120,75,0.491226381214,0.491226381214,0.491226381214,0.491226381214,3
120,75,0.491226381214,0.491226381214,0.491226381214,0.491226381214,3
120,75,0.491226381214,0.491095773675,0.491200259706,0.491226381214,3
120,75,0.491226381214,0.491095773675,0.491200259706,0.491226381214,3
120,80,0.48958476994,0.48958476994,0.48958476994,0.48958476994,3
120,80,0.48958476994,0.48958476994,0.48958476994,0.48958476994,3
120,80,0.48958476994,0.48958476994,0.48958476994,0.48958476994,3
120,90,0.489443568099,0.489443568099,0.489443568099,0.489443568099,3
120,90,0.489443568099,0.489443568099,0.489443568099,0.489443568099,3
120,109,0.488331516035,0.488331516035,0.488331516035,0.488331516035,3
120,99,0.488189441459,0.488189441459,0.488189441459,0.488189441459,3
120,99,0.488189441459,0.488189441459,0.488189441459,0.488189441459,3
150,139,0.488173917915,0.488173917915,0.488173917915,0.488173917915,4
120,104,0.48814392229,0.48814392229,0.48814392229,0.48814392229,3
120,104,0.48814392229,0.48814392229,0.48814392229,0.48814392229,3
150,129,0.487689026451,0.487689026451,0.487689026451,0.487689026451,4
190,119,0.487451493438,0.487451493438,0.487451493438,0.487451493438,4
150,119,0.487374357754,0.487374357754,0.487374357754,0.487374357754,4
190,169,0.487274065661,0.487274065661,0.487274065661,0.487274065661,4
190,114,0.487250651983,0.487250651983,0.487250651983,0.487250651983,4
190,139,0.487140209299,0.486735111937,0.486816131409,0.486735111937,4
170,149,0.486956182359,0.486956182359,0.486956182359,0.486956182359,4
190,129,0.486895272428,0.486895272428,0.486895272428,0.486895272428,4
200,129,0.486799048812,0.486799048812,0.486799048812,0.486799048812,4
200,149,0.486661114033,0.486661114033,0.486661114033,0.486661114033,4
200,199,0.486653189024,0.486653189024,0.486653189024,0.486653189024,4
190,149,0.48663757559,0.48663757559,0.48663757559,0.48663757559,4
