K_cap,k_low,NMI_max,NMI_min,NMI_avg,NMI_med,algo_choice
600,299,0.46040031363,0.459396107623,0.459596948824,0.459396107623,1
320,189,0.458958102614,0.443890721943,0.446904198077,0.443890721943,1
350,189,0.456984367806,0.456984367806,0.456984367806,0.456984367806,1
500,319,0.456960148653,0.442474721078,0.445371806593,0.442474721078,1
500,299,0.45686945218,0.442130795438,0.445078526786,0.442130795438,1
500,309,0.45686945218,0.45686945218,0.45686945218,0.45686945218,1
500,289,0.456671374358,0.45637364082,0.45661182765,0.456671374358,1
600,289,0.45618120057,0.438488575253,0.452642675506,0.45618120057,1
300,189,0.4557221144,0.455632513091,0.455650433353,0.455632513091,1
270,189,0.454236185945,0.442168677436,0.444582179138,0.442168677436,1
320,199,0.45395352927,0.45395352927,0.45395352927,0.45395352927,1
130,129,0.453809712411,0.453044363686,0.453656642666,0.453809712411,1
105,99,0.45171935944,0.451242181992,0.45162392395,0.45171935944,1
800,399,0.451702299246,0.45060411296,0.450823750218,0.45060411296,1
300,199,0.451468629589,0.443095163719,0.449793936415,0.451468629589,1
800,329,0.451334842356,0.450786147824,0.45122510345,0.451334842356,1
800,319,0.450664298819,0.450664298819,0.450664298819,0.450664298819,1
800,309,0.450649879004,0.450535161801,0.450626935563,0.450649879004,1
800,299,0.44984020163,0.449711683126,0.449737386827,0.449711683126,1
190,189,0.449736918905,0.449736918905,0.449736918905,0.449736918905,1
40,29,0.449659554922,0.449659554922,0.449659554922,0.449659554922,1
700,399,0.449326298338,0.448427801448,0.448607500826,0.448427801448,1
800,349,0.449206427458,0.449206427458,0.449206427458,0.449206427458,1
800,339,0.449203873882,0.448902089519,0.449143517009,0.449203873882,1
800,289,0.449202925661,0.448976230192,0.449157586567,0.449202925661,1
110,90,0.448690792465,0.448690792465,0.448690792465,0.448690792465,1
700,309,0.448234778752,0.447811657059,0.448150154414,0.448234778752,1
105,90,0.448092156235,0.448092156235,0.448092156235,0.448092156235,1
100,90,0.447873093963,0.447503666416,0.447577551925,0.447503666416,1
700,319,0.447760711146,0.447084015966,0.44762537211,0.447760711146,1
700,329,0.44769930565,0.446825490909,0.447000253857,0.446825490909,1
